ID,Country,Province/State,City,Venue,Current Name,Previous Name(s),
1,Canada,Ontario,Toronto,The Phoenix,The Phoenix,,
2,Canada,Ontario,Toronto,Arrow Hall,Arrow Hall,,
3,Canada,Ontario,Toronto,Budweiser Stage (Molson Amphitheatre),Budweiser Stage,Molson Amphitheatre,
4,Canada,Quebec,Montreal,La Tulipe,La Tulipe,,
5,Canada,Ontario,Kitchener,Downtown,Downtown,,
6,Canada,Ontario,Toronto,Downsview Park,Downsview Park,,
7,Canada,Ontario,Toronto,Axis Club (Mod Club),Axis Club,Mod Club,
8,Canada,Ontario,Toronto,Rebel (Sound Academy),Rebel,Sound Academy,
9,Canada,Ontario,Toronto,Opera House,Opera House,,
10,Canada,Ontario,Hamilton,Copps Coliseum,Copps Coliseum,,
11,Canada,Ontario,Toronto,Kool Haus,Kool Haus,,
13,Canada,Ontario,Toronto,Scotiabank Arena (Air Canada Centre),Scotiabank Arena,Air Canada Centre,
14,Canada,Ontario,Toronto,Danforth Music Hall,Danforth Music Hall,,
15,Canada,Ontario,Toronto,Velvet Underground,Velvet Underground,,
16,Canada,Ontario,Etobicoke,The Rockpile,The Rockpile,,
17,USA,Michigan,Detroit,St. Andrews Hall,St. Andrews Hall,,
18,Canada,Ontario,Toronto,Sneaky Dee's,Sneaky Dee's,,
19,Canada,Ontario,Toronto,Tattoo Rock Parlour,Tattoo Rock Parlour,,
20,Canada,Ontario,Toronto,Hard Luck Bar,Hard Luck Bar,,
21,USA,Michigan,Niagara Falls,Rapids Theatre,Rapids Theatre,,
22,Canada,Ontario,London,London Music Hall,London Music Hall,,
23,Canada,Ontario,Toronto,Annex Wreckroom,Annex Wreckroom,,
24,Canada,Ontario,Hamilton,Club Absinthe,Club Absinthe,,
25,Canada,Ontario,Toronto,Adelaide Hall,Adelaide Hall,,
26,Canada,Ontario,Waterloo,The Starlight,The Starlight,,
27,Canada,Ontario,Barrie,Millenium Overlook Park,Millenium Overlook Park,,
28,USA,Louisiana,Franklinton,Washington Parish Fair,Washington Parish Fair,,
29,Canada,Ontario,Toronto,Convocation Hall,Convocation Hall,,
30,Canada,Ontario,Montreal,Centre Bell,Centre Bell,,
31,Canada,Ontario,Toronto,Echo Beach,Echo Beach,,
32,USA,Illinois,Chicago,Auditorium Theater,Auditorium Theater,,
33,Canada,Ontario,Internet,Twitch/Livestream,Twitch/Livestream,,
34,Canada,Ontario,Toronto,Hard Luck Bar,Hard Luck Bar,,
35,Canada,Ontario,Toronto,History,History,,
36,Canada,Ontario,Hamilton,Bridgeworks,Bridgeworks,,
37,Canada,Ontario,Toronto,Sheet Happens HQ,Sheet Happens HQ,,
